debate_section_id,question_topic_jaccard,question_intent_jaccard,answer_topic_jaccard,answer_characteristic_jaccard,combined_topic_jaccard
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_109,1.0,1.0,1.0,0.5,1.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1367,0.0,1.0,1.0,0.6666666666666666,0.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_169,0.3333333333333333,0.6666666666666666,0.25,0.7142857142857143,0.25
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_180,1.0,1.0,0.6,0.8888888888888888,0.6
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_359,1.0,0.5,1.0,1.0,1.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_881,1.0,1.0,1.0,1.0,1.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-11/writtens/dbsect_155,1.0,1.0,0.5,0.8888888888888888,0.5
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-12/writtens/dbsect_275,0.5,1.0,0.5,0.6,0.5
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-18/writtens/dbsect_448,1.0,1.0,1.0,1.0,1.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-18/writtens/dbsect_727,0.5,1.0,1.0,1.0,1.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-19/writtens/dbsect_274,1.0,1.0,1.0,1.0,1.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/dbsect_388,0.25,0.75,0.6666666666666666,1.0,0.5
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/dbsect_441,0.9,0.9,0.3333333333333333,0.625,0.6
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/dbsect_623,0.41666666666666663,0.41666666666666663,0.6666666666666666,1.0,0.6666666666666666
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-04/writtens/dbsect_557,1.0,1.0,0.0,1.0,1.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-04/writtens/dbsect_641,0.5,1.0,0.5,0.7,0.5
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/dbsect_109,0.5,1.0,1.0,0.6666666666666666,1.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/dbsect_206,1.0,1.0,1.0,1.0,1.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/dbsect_50,1.0,0.6666666666666666,0.75,1.0,0.75
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-06/writtens/dbsect_188,1.0,0.3333333333333333,1.0,1.0,1.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/dbsect_1419,1.0,1.0,1.0,1.0,1.0
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-20/writtens/dbsect_396,1.0,0.5,0.0,1.0,0.5
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-20/writtens/dbsect_438,0.5,1.0,1.0,1.0,0.5
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-25/writtens/dbsect_692,0.25,1.0,0.2,1.0,0.2
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-26/writtens/dbsect_51,1.0,1.0,1.0,0.5,1.0
