question_id,question_date,question_number,asked_by_name,recipient,debate_section_id,source_xml_url,fetch_ok,fetch_error,xml_parse_ok,section_match_count,question_id_match_count,matched_element_tag,matched_text_chars,matched_text_preview,question_text_chars,answer_text_existing_chars,attachment_link_count,attachment_links
https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_1402,2025-01-22,1402,Niamh Smyth,Health,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1326,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_1326.xml,True,,True,0,0,,0,,234,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_313,2025-01-22,313,Mark Wall,Transport,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_308,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_308.xml,True,,True,0,0,,0,,240,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-01-22/pq_689,2025-01-22,689,Richard Boyd Barrett,Tourism,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_663,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/mul@/dbsect_663.xml,True,,True,0,0,,0,,491,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-02-06/pq_239,2025-02-06,239,Alan Kelly,Health,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-06/writtens/dbsect_225,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-06/writtens/mul@/dbsect_225.xml,True,,True,0,0,,0,,220,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-02-11/pq_14,2025-02-11,14,Malcolm Byrne,Foreign,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-11/writtens/dbsect_33,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-11/writtens/mul@/dbsect_33.xml,True,,True,0,0,,0,,250,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-02-13/pq_25,2025-02-13,25,Richard Boyd Barrett,Finance,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-13/writtens/dbsect_55,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-13/writtens/mul@/dbsect_55.xml,True,,True,0,0,,0,,338,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-02-18/pq_745,2025-02-18,745,Marie Sherlock,Health,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-18/writtens/dbsect_629,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-18/writtens/mul@/dbsect_629.xml,True,,True,0,0,,0,,379,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-02-19/pq_163,2025-02-19,163,Ivana Bacik,Agriculture,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-19/writtens/dbsect_189,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-19/writtens/mul@/dbsect_189.xml,True,,True,0,0,,0,,578,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-03-19/pq_1066,2025-03-19,1066,Séamus McGrath,Social,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/dbsect_864,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/mul@/dbsect_864.xml,True,,True,0,0,,0,,211,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-03-19/pq_1629,2025-03-19,1629,Eoin Ó Broin,Health,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/dbsect_1375,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/mul@/dbsect_1375.xml,True,,True,0,0,,0,,289,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-03-19/pq_473,2025-03-19,473,Ciarán Ahern,Public Expenditure,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/dbsect_349,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/mul@/dbsect_349.xml,True,,True,0,0,,0,,423,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-03-19/pq_966,2025-03-19,966,Conor Sheehan,Housing,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/dbsect_768,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/mul@/dbsect_768.xml,True,,True,0,0,,0,,492,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-03-25/pq_608,2025-03-25,608,Pádraig Mac Lochlainn,Agriculture,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-25/writtens/dbsect_396,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-25/writtens/mul@/dbsect_396.xml,True,,True,0,0,,0,,364,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-03-26/pq_128,2025-03-26,128,Alan Kelly,Justice,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-26/writtens/dbsect_166,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-26/writtens/mul@/dbsect_166.xml,True,,True,0,0,,0,,210,3,0,[]
https://data.oireachtas.ie/ie/oireachtas/question/2025-04-01/pq_260,2025-04-01,260,Eoin Ó Broin,Environment,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-01/writtens/dbsect_170,https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-04-01/writtens/mul@/dbsect_170.xml,True,,True,0,0,,0,,362,3,0,[]
