debate_section_id,question_date,to_minister_or_department,answer_status,grouped_answer,referred_or_direct_reply,answer_length_band
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_109,2025-01-22,Environment,ministerial_reply_present,False,False,short
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_1367,2025-01-22,Health,ministerial_reply_present,False,True,short
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_169,2025-01-22,Transport,ministerial_reply_present,False,True,very_long
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-01-22/writtens/dbsect_180,2025-01-22,Transport,ministerial_reply_present,False,True,very_long
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_359,2025-02-05,Enterprise,ministerial_reply_present,True,False,short
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-05/writtens/dbsect_881,2025-02-05,Children,ministerial_reply_present,False,False,short
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-11/writtens/dbsect_155,2025-02-11,Transport,ministerial_reply_present,False,True,long
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-12/writtens/dbsect_275,2025-02-12,Health,ministerial_reply_present,False,True,medium
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-18/writtens/dbsect_448,2025-02-18,Justice,ministerial_reply_present,False,False,short
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-18/writtens/dbsect_727,2025-02-18,Further and Higher Education,ministerial_reply_present,True,False,very_long
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-19/writtens/dbsect_274,2025-02-19,Rural,unresolved_structure,True,False,short
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/dbsect_388,2025-02-25,Housing,ministerial_reply_present,True,False,medium
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/dbsect_441,2025-02-25,Housing,ministerial_reply_present,True,False,medium
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-02-25/writtens/dbsect_623,2025-02-25,Children,ministerial_reply_present,True,False,long
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-04/writtens/dbsect_557,2025-03-04,Health,ministerial_reply_present,True,False,short
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-04/writtens/dbsect_641,2025-03-04,Health,ministerial_reply_present,True,True,very_long
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/dbsect_109,2025-03-05,Tourism,ministerial_reply_present,False,False,long
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/dbsect_206,2025-03-05,Health,reply_not_received,False,False,short
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-05/writtens/dbsect_50,2025-03-05,Transport,ministerial_reply_present,True,False,long
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-06/writtens/dbsect_188,2025-03-06,Health,ministerial_reply_present,True,True,medium
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-19/writtens/dbsect_1419,2025-03-19,Health,ministerial_reply_present,False,False,short
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-20/writtens/dbsect_396,2025-03-20,Children,ministerial_reply_present,True,True,medium
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-20/writtens/dbsect_438,2025-03-20,Health,ministerial_reply_present,False,True,short
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-25/writtens/dbsect_692,2025-03-25,Rural,ministerial_reply_present,True,False,medium
https://data.oireachtas.ie/akn/ie/debateRecord/dail/2025-03-26/writtens/dbsect_51,2025-03-26,Taoiseach,ministerial_reply_present,True,False,medium
